REF_AREA,MEASURE,TIME_PERIOD,OBS_VALUE
AUT,CH4,2000,9244.597
AUT,CO2,2000,51744.11
AUT,HFC,2000,676.688
AUT,N2O,2000,3988.328
AUT,PFC,2000,79.606
AUT,SF,2000,592.167
AUT,CH4,2001,9048.442
AUT,CO2,2001,40600.619000000006
AUT,HFC,2001,808.335
AUT,N2O,2001,3865.394
AUT,PFC,2001,106.135
AUT,SF,2001,648.647
AUT,CH4,2002,8891.377
AUT,CO2,2002,58645.201
AUT,HFC,2002,957.243
AUT,N2O,2002,3854.322
AUT,PFC,2002,93.067
AUT,SF,2002,632.13
AUT,CH4,2003,8810.61
AUT,CO2,2003,61954.387
AUT,HFC,2003,1026.653
AUT,N2O,2003,3841.06
AUT,PFC,2003,115.589
AUT,SF,2003,566.312
AUT,CH4,2004,8801.907
AUT,CO2,2004,55128.39599999999
AUT,HFC,2004,1095.002
AUT,N2O,2004,3308.6290000000004
AUT,PFC,2004,145.06
AUT,SF,2004,498.866
AUT,CH4,2005,8540.976
AUT,CO2,2005,60532.879
AUT,HFC,2005,1103.516
AUT,N2O,2005,3307.655
AUT,PFC,2005,150.059
AUT,SF,2005,508.78
AUT,CH4,2006,8406.259
AUT,CO2,2006,67597.473
AUT,HFC,2006,1112.881
AUT,N2O,2006,3314.818
AUT,PFC,2006,156.329
AUT,SF,2006,467.385
AUT,CH4,2007,8271.929
AUT,CO2,2007,68287.947
AUT,HFC,2007,1161.817
AUT,N2O,2007,3331.476
AUT,PFC,2007,208.704
AUT,SF,2007,378.274
AUT,CH4,2008,8109.143999999999
AUT,CO2,2008,60972.007
AUT,HFC,2008,1207.526
AUT,N2O,2008,3485.402
AUT,PFC,2008,188.488
AUT,SF,2008,384.9
AUT,CH4,2009,7984.332
AUT,CO2,2009,59115.145
AUT,HFC,2009,1311.314
AUT,N2O,2009,3288.298
AUT,PFC,2009,32.63
AUT,SF,2009,352.169
AUT,CH4,2010,7862.334
AUT,CO2,2010,52107.30100000001
AUT,HFC,2010,1425.575
AUT,N2O,2010,3118.435
AUT,PFC,2010,70.515
AUT,SF,2010,346.182
AUT,CH4,2011,7630.874000000001
AUT,CO2,2011,54399.088
AUT,HFC,2011,1517.982
AUT,N2O,2011,3210.813
AUT,PFC,2011,66.432
